indicx,no_cidade
"90.80","Echaporã"
"88.57","Bom Jesus da Penha"
"56.06","Catingueira"
"70.96","Nazaré"
"79.11","Campos dos Goytacazes"
"47.00","Rafael Jambeiro"
"52.74","Santa Luzia do Norte"
"83.47","Denise"
"69.64","São José dos Cordeiros"
"75.54","Petrópolis"
"23.54","Amarante do Maranhão"
"39.13","Manoel Emídio"
"84.44","Jari"
"50.00","Lajeado Grande"
"61.63","Eldorado"
"24.53","Potiraguá"
"81.81","Santo Ângelo"
"100.00","Serranópolis do Iguaçu"
"73.33","Bandeira"
"67.14","Caraúbas"
"51.58","Silva Jardim"
"40.54","Garruchos"
"91.12","Quatis"
"89.07","Jataizinho"
"18.67","Taperoá"
"41.88","Lavras da Mangabeira"
"84.31","Indianópolis"
"59.89","Boa Esperança"
"31.00","Marabá"
"15.20","Santa Filomena"
"89.43","Campina da Lagoa"
"69.49","Ibertioga"
"76.92","Getulina"
"75.67","Macaé"
"68.64","Espera Feliz"
"16.53","Tomé-Açu"
"90.90","Icaraíma"
"61.70","Santana do Cariri"
"48.36","Urucará"
"65.08","Santo Antônio da Platina"
"77.27","Cascalho Rico"
"58.46","São José do Goiabal"
"74.15","Piripiri"
"21.95","Ribamar Fiquene"
"90.29","Ouro Verde"
"97.87","Erval Grande"
"61.34","Dom Basílio"
"44.00","Cocalzinho de Goiás"
"50.06","Lauro de Freitas"
"77.40","São José dos Pinhais"
"71.61","Capão do Leão"
"38.09","Pedrão"
"32.51","Zé Doca"
"65.78","Olivedos"
"70.58","Óleo"
"29.09","Governador Jorge Teixeira"
"60.97","Jaú do Tocantins"
"66.51","Ibaiti"
"82.00","São Bentinho"
"92.42","Espumoso"
"78.87","Guaimbê"
"62.17","São José do Cedro"
"76.76","Itapema"
"21.56","Jardim de Angicos"
"69.49","Selvíria"
"86.20","Herveiras"
"78.78","Canaã"
"79.54","Novo Barreiro"
"34.37","Porto de Pedras"
"54.98","Macaíba"
"80.00","Borá"
"43.64","Taquari"
"84.00","Condor"
"83.92","Mirassolândia"
"50.64","Dom Cavati"
"96.77","Japurá"
"82.54","Muriaé"
"96.87","Novo Horizonte"
"77.74","Cruz"
"62.18","Érico Cardoso"
"18.66","Bom Sucesso"
"50.00","Flores do Piauí"
"89.71","Iepê"
"92.72","Tapejara"
"73.37","Canápolis"
"83.72","Pedra Mole"
"83.33","Varjão"
"81.03","Ibarama"
"82.95","Chapada"
"25.82","Sento Sé"
"88.57","Rio Negro"
"30.10","Lagoa Alegre"
"58.82","São João da Lagoa"
"42.69","Campo Formoso"
"92.00","Cerro Grande"
"76.77","Paranapanema"
"63.70","Faxinal"
"74.00","Avaré"
"81.99","Niterói"
"42.69","Itapipoca"
"77.99","Andradina"
"60.05","Mauriti"
"20.38","Peri Mirim"
"67.04","Ipumirim"
"59.22","Naque"
"65.68","Água Clara"
"37.68","Sandolândia"
"71.78","Montenegro"
"19.23","Nazaré do Piauí"
"80.88","Aurora"
