indicx,no_cidade
"80.28","Cambuci"
"61.95","Varjão de Minas"
"46.66","Várzea do Poço"
"13.48","Uruçuí"
"55.26","Juquitiba"
"44.73","Laje do Muriaé"
"78.94","Rodolfo Fernandes"
"53.54","Tanguá"
"27.30","Ubatã"
"7.91","Lagoa do Mato"
"78.91","Mortugaba"
"79.04","Barueri"
"42.42","Lagoa de Velhos"
"75.00","Ouro"
"92.36","Tombos"
"85.41","Torrinha"
"41.31","Goianápolis"
"70.47","Capinzal"
"87.05","Vitorino"
"66.53","Orleans"
"34.42","Traipu"
"93.01","Palotina"
"69.69","Mato Grosso"
"83.87","Mesópolis"
"81.79","Piracicaba"
"52.28","Sirinhaém"
"50.70","Araricá"
"60.43","Bezerros"
"68.30","Jequeri"
"68.24","Três Lagoas"
"51.23","Carmópolis de Minas"
"19.55","Xique-Xique"
"48.14","Santa Tereza de Goiás"
"96.01","Apucarana"
"9.95","Penalva"
"36.59","Belém do São Francisco"
"57.33","Três Barras"
"90.90","Muliterno"
"18.63","Limoeiro do Ajuru"
"41.50","Glória"
"88.23","Senador José Bento"
"42.85","Carlos Gomes"
"77.91","Lagoa Vermelha"
"47.69","Extremoz"
"35.84","Teresina de Goiás"
"27.77","São José do Jacuípe"
"43.97","Bom Jesus"
"88.60","Perobal"
"15.13","Santa Inês"
"58.43","São Francisco do Guaporé"
"47.97","Mirangaba"
"44.11","Santa Maria do Tocantins"
"18.68","Itapitanga"
"41.55","Terra Nova"
"67.56","Igaratinga"
"88.41","Cândido Mota"
"14.28","Luzilândia"
"79.21","Varginha"
"37.50","Itiruçu"
"77.90","Diamantino"
"42.20","Ipueiras"
"82.92","Nossa Senhora Aparecida"
"82.82","Terra Roxa"
"30.99","Iramaia"
"51.72","João Alfredo"
"67.91","Soledade"
"64.28","Ararendá"
"9.24","Cururupu"
"63.30","Ubajara"
"31.75","Baixa Grande"
"89.65","Sul Brasil"
"40.48","Bom Conselho"
"71.08","Senador Firmino"
"80.00","Forquetinha"
"71.42","São Luís de Montes Belos"
"79.72","São Gonçalo"
"45.09","Frei Lagonegro"
"43.63","Coité do Nóia"
"69.64","Iporanga"
"76.90","Ibiapina"
"65.00","Retirolândia"
"72.72","São José do Povo"
"79.31","Pedra Lavrada"
"42.30","Guarinos"
"71.97","Mucambo"
"68.71","Osasco"
"0","Mojuí dos Campos"
"61.16","Glória do Goitá"
"17.56","Sebastião Leal"
"25.86","Nazária"
"80.85","Lamim"
"70.93","Lagoa Formosa"
"17.93","Ribeira do Amparo"
"82.14","Ernestina"
"38.95","Floresta"
"48.57","Abdon Batista"
"88.63","Guarará"
"81.96","Groaíras"
"71.79","Rio Manso"
"57.69","Irani"
"33.12","Dário Meira"
"27.27","Barreiras do Piauí"
"83.07","São Miguel do Oeste"
"69.23","Brejolândia"
"75.43","Guatambú"
"25.00","Bacabeira"
"45.00","Luzinópolis"
"76.00","Quatro Irmãos"
"93.14","Agudos"
"54.02","Tianguá"
"60.15","Bom Retiro"
"65.62","Atalanta"
"88.88","Onda Verde"
"91.48","Amorinópolis"
"23.80","Sebastião Barros"
"38.00","Itapemirim"
"85.60","Serra Azul"
"40.29","Lucena"
"46.48","Pacajus"
"36.22","Salgado"
"60.93","Figueirópolis"
"78.48","Águas de Santa Bárbara"
"51.54","Alta Floresta D'Oeste"
"56.86","Teixeirópolis"
"85.06","Arroio do Tigre"
"31.47","Vitória do Jari"
"59.09","Caturama"
"56.00","Frei Rogério"
"96.00","Nova Candelária"
"38.15","Belém"
"93.47","Pinhalão"
"62.94","Iguape"
"63.50","Cariús"
"31.62","Lagarto"
"58.33","Planura"
"41.57","Quixaba"
"78.77","Arcoverde"
"64.61","Barra do Ribeiro"
"55.92","Matias Cardoso"
"84.56","Quixeré"
"14.32","Salinópolis"
"76.08","Treze Tílias"
"72.27","São Mateus do Sul"
"72.54","Porto Estrela"
"41.81","Cotegipe"
"70.22","Luz"
"41.05","Passo de Camaragibe"
"86.53","Nova Esperança do Sul"
"72.26","Brejo Santo"
"65.72","Registro"
"88.06","Brazópolis"
"73.94","Rio dos Cedros"
"55.31","Alto Paraíso"
"64.86","Nova América da Colina"
"88.37","Santa Clara do Sul"
"72.91","Terra Nova do Norte"
"77.08","Vista Serrana"
"44.21","Santana dos Garrotes"
"51.29","Alagoinhas"
"87.75","Palmas"
"53.84","Luciara"
"56.69","Água Branca"
"30.96","Antas"
"77.29","Alto Araguaia"
"45.78","Tururu"
"76.01","Suzano"
"60.33","Santana do Mundaú"
"86.45","Dumont"
"89.60","Cardoso"
"73.22","Tenente Portela"
"64.27","Bodocó"
"86.88","Mamborê"
"83.33","Braço do Trombudo"
"49.15","Cristalândia"
"100.00","Nova Roma do Sul"
"46.66","Cipotânea"
"19.18","Itaporanga d'Ajuda"
"72.72","Matupá"
"82.05","Catunda"
"60.00","São José do Norte"
"30.95","Uruará"
"58.33","Marabá Paulista"
"44.76","Mata Verde"
"60.31","Itaúba"
"57.37","Jordânia"
"75.75","Taboleiro Grande"
"86.01","Umuarama"
"56.48","Cabaceiras do Paraguaçu"
"93.82","Santa Fé de Goiás"
"60.00","Vargem"
"53.33","Dueré"
"41.22","Cafelândia"
"67.88","Coluna"
"53.84","Santa Luz"
"84.37","Mormaço"
"69.69","Águas da Prata"
"63.05","Guaraciaba do Norte"
"59.61","Solidão"
"28.67","Poço das Trincheiras"
"71.05","Gurjão"
"87.65","Passo de Torres"
"76.11","Ouvidor"
"52.84","Carauari"
"31.21","Ibicaraí"
"57.14","São José do Herval"
"45.16","São Salvador do Tocantins"
"32.11","Santo Estêvão"
"93.92","Ubiratã"
"29.41","Lajedo do Tabocal"
"69.60","Bofete"
"96.19","Iporã do Oeste"
"17.74","Santa Isabel do Rio Negro"
"70.83","Mirim Doce"
"57.75","Aperibé"
"92.85","Itambé"
"48.88","Bugre"
"42.09","Miguel Calmon"
"68.89","Independência"
"68.75","Piau"
"54.45","São Sebastião do Passé"
"30.04","Palmeirais"
"52.70","Fazenda Nova"
"63.07","Campo Erê"
"60.46","São José do Seridó"
"42.64","Catuji"
"57.42","Nova Viçosa"
"35.79","Iguaracy"
"94.07","Torres"
"82.60","Bandeirante"
"45.26","Raul Soares"
"69.03","Mogi das Cruzes"
"85.90","Vinhedo"
"87.50","Arroio do Sal"
"94.11","Boa Vista do Cadeado"
"54.83","Araguaiana"
"81.39","São José dos Campos"
"46.31","Presidente Dutra"
"59.09","Douradina"
"88.40","Orindiúva"
"66.32","Machado"
"71.42","Tabuleiro"
"66.66","Timbaúba dos Batistas"
"67.67","Japonvar"
"44.32","São José do Xingu"
"92.68","Arenópolis"
"17.07","Milagres do Maranhão"
"82.50","Lajeado do Bugre"
"52.07","Orlândia"
"30.18","Castanheiras"
"76.25","Luisburgo"
"88.56","Porto Feliz"
"83.05","Barão de Cotegipe"
"17.16","São Francisco do Brejão"
"25.00","Barro Preto"
"37.09","Brejo do Piauí"
"62.06","Ponto Chique"
"52.83","Tabira"
"90.08","Santo Antônio do Aracanguá"
"25.00","Pavussu"
"89.96","Ipameri"
"62.16","Santa Rosa da Serra"
"29.72","Vila Flor"
"85.12","Louveira"
"75.00","Arco-Íris"
"30.76","São Gonçalo do Rio Preto"
"52.71","Irineópolis"
"63.52","Paranaíba"
"80.33","São Sebastião"
"72.72","Córrego Danta"
"20.04","Pedro Canário"
"44.92","Presidente Kennedy"
"84.00","Xavantina"
"75.47","São Lourenço do Piauí"
"28.41","Arraias"
"95.00","Dirce Reis"
"13.48","Itacaré"
"91.32","Caconde"
"17.09","Maracanã"
"82.70","Mococa"
"92.85","Ivorá"
"92.07","Boa Esperança do Sul"
"56.27","Santo Amaro da Imperatriz"
"57.14","Nazarezinho"
"64.94","Santa Rita de Minas"
"91.30","Nova Aliança"
"60.08","União dos Palmares"
"60.10","Campo Novo de Rondônia"
"76.00","Urutaí"
"70.00","Sebastianópolis do Sul"
"33.33","Capão Bonito do Sul"
"83.71","Cosmópolis"
"50.00","Nova Aliança do Ivaí"
"88.75","Urânia"
"66.66","Gurinhatã"
"55.04","Apiúna"
"65.77","Bandeirantes"
"92.59","Campina das Missões"
"96.77","Arvoredo"
"45.83","Cabixi"
"51.06","Angicos"
"57.07","Triunfo"
"48.49","Mucuri"
"68.76","São Gonçalo do Sapucaí"
"53.08","Canhotinho"
"100.00","São José do Inhacorá"
"50.60","Teixeira"
"47.66","Espírito Santo"
"62.06","Santo Expedito"
"44.44","Taipas do Tocantins"
"85.86","Peabiru"
"25.11","Japoatã"
"75.00","São Valentim do Sul"
"65.26","Hulha Negra"
"30.51","Chapada Gaúcha"
"93.44","Jardim do Seridó"
"45.76","Barão de Melgaço"
"80.97","Conchas"
"38.36","Exu"
"43.75","Bonito"
"81.17","Coxim"
"92.85","Pato Bragado"
"77.14","Barão"
"89.28","Cândido Godói"
"41.44","Belo Jardim"
"56.41","Paty do Alferes"
"65.71","Taquaraçu de Minas"
"37.63","Almenara"
"9.14","Jacareacanga"
"51.89","Araripina"
"91.30","Coronel Domingos Soares"
"100.00","Montauri"
"96.55","Novo Tiradentes"
"90.69","Anahy"
"13.97","São José de Caiana"
"78.48","Sertãozinho"
"71.37","Juazeirinho"
"83.22","Quissamã"
"72.50","Planalto"
"20.15","Alto Alegre do Pindaré"
"56.63","Santa Bárbara do Leste"
"80.35","Garça"
"73.58","Rio Bonito do Iguaçu"
"85.44","Ribeirão Branco"
"93.10","Santo Expedito do Sul"
"62.74","Tabaí"
"74.97","Sorriso"
"100.00","Vista Alegre do Prata"
"80.95","Gameleiras"
"71.61","Ipanema"
"51.31","Barra do Garças"
"86.20","Nova Mutum"
"21.05","Almadina"
"50.77","Cananéia"
"37.50","Pinhal da Serra"
"80.45","Juti"
"81.06","Morrinhos"
"76.58","Garopaba"
"21.85","Caracaraí"
"38.46","Granito"
"48.08","Caravelas"
"21.88","Queimados"
"55.01","Corinto"
"78.21","Nova Olímpia"
"84.61","Rifaina"
"54.41","Poxoréo"
"66.66","Anhanguera"
"92.26","Potirendaba"
"51.24","Santo Antônio do Içá"
"60.36","Pereiro"
"67.85","Santo Hipólito"
"55.17","Morro do Pilar"
"76.42","Niquelândia"
"67.27","São Pedro do Suaçuí"
"44.51","Várzea da Roça"
"42.85","Serranópolis"
"78.37","Sabino"
"8.72","Timbiras"
"80.16","Marco"
"81.30","Chapecó"
"88.88","Iomerê"
"25.60","São João do Carú"
"79.48","Santo Antônio do Retiro"
"55.20","Buriti Alegre"
"49.03","Campo Limpo de Goiás"
"71.87","Ipiranga de Goiás"
"17.97","Santa Maria da Vitória"
"88.74","São João Nepomuceno"
"73.33","São José da Varginha"
"75.86","Nova Veneza"
"73.84","Palhano"
"57.32","Itariri"
"26.08","Itaguatins"
"78.27","Santa Rita do Passa Quatro"
"52.82","Poranga"
"81.86","Araçatuba"
"44.92","Wanderlândia"
"55.97","Pau D'Arco"
"25.73","São Félix do Coribe"
"40.21","Manaíra"
"95.96","Piraí"
"89.36","Nova Maringá"
"8.33","Pauini"
"87.93","Indaiatuba"
"79.03","Laranjeiras do Sul"
"59.46","Iturama"
"60.00","Apuiarés"
"36.24","Tutóia"
"66.12","Avaí"
"55.17","Piquerobi"
"71.60","Chalé"
"42.68","Rio do Campo"
"70.45","São Francisco de Assis"
"58.10","Livramento de Nossa Senhora"
"67.53","Guaiçara"
"88.30","São Carlos"
"89.88","Roca Sales"
"36.87","Jequiá da Praia"
"30.54","Santa Cruz Cabrália"
"10.08","Pedro do Rosário"
"59.80","Arapoema"
"92.45","Santa Adélia"
"49.10","Peixe"
"26.72","Riachão do Dantas"
"86.06","Araruna"
"86.51","Sonora"
"93.93","Severiano de Almeida"
"47.51","Barra de São Miguel"
"84.24","Araçariguama"
"82.81","Augusto Pestana"
"85.71","Santa Inês"
"62.40","Içara"
"89.57","Curitiba"
"93.80","Itararé"
"67.07","Barra Velha"
"76.51","Rio do Antônio"
"68.00","Adelândia"
"47.55","Tunas do Paraná"
"74.23","Atibaia"
"54.26","São Desidério"
"66.19","São Vicente"
"68.25","São Miguel do Aleixo"
"80.70","Gramado"
"42.80","Quaraí"
"20.16","Buriticupu"
"39.09","Babaçulândia"
"86.66","Divino"
"27.98","Monte Santo"
"8.52","Goianésia do Pará"
"59.15","Cabeceira Grande"
"27.02","Valença"
"82.92","Roseira"
"35.31","Taguatinga"
"82.02","Congonhal"
"76.04","Praia Grande"
"79.60","Arapongas"
"77.77","Grão Pará"
"53.93","Carlópolis"
"18.14","Gandu"
"85.34","Nova Resende"
"35.13","Pau D'Arco"
"41.56","São Gonçalo dos Campos"
"24.41","Tefé"
"58.89","Carlos Chagas"
"15.38","Porto Walter"
"15.10","Itaguaçu da Bahia"
"29.20","Riachão"
"87.69","Saltinho"
"62.87","Jucurutu"
"72.84","Campo Novo do Parecis"
"46.21","Belmonte"
"88.52","Tietê"
"61.27","Moreno"
"80.68","Ipiranga do Norte"
"61.11","Santa Bárbara do Tugúrio"
"73.41","Roque Gonzales"
"82.02","Raposos"
"30.23","Japeri"
"78.90","Conceição dos Ouros"
"80.00","Rio Quente"
"47.26","Messias"
"69.33","Jucás"
"67.44","Álvaro de Carvalho"
"38.88","Riachão do Poço"
"79.06","São Valério do Sul"
"76.19","Dois Irmãos do Buriti"
"38.74","São João del Rei"
"37.50","Juarina"
"46.05","Malta"
"37.11","Macapá"
"72.16","Ribeirão Cascalheira"
"68.80","Palmópolis"
"88.23","Tabuleiro do Norte"
"75.84","Guaranésia"
"87.50","Braúna"
"30.39","Olindina"
"64.70","Orizona"
"78.94","Guarani d'Oeste"
"42.42","Passagem"
"75.90","Campo Grande"
"82.14","Unistalda"
"40.90","São Tomé"
"86.36","Aparecida d'Oeste"
"48.48","São José da Safira"
"55.17","Santo Antônio do Aventureiro"
"40.54","Ilha de Itamaracá"
"88.63","Santa Rita de Jacutinga"
"58.49","Natividade da Serra"
"48.79","São João"
"71.42","Victor Graeff"
"93.13","Campestre"
"65.27","Caicó"
"69.13","São Sebastião do Oeste"
"28.21","Santa Maria do Cambucá"
"75.45","Ouro Preto"
"66.66","Formosa do Sul"
"34.04","Bannach"
"72.22","Quevedos"
"87.50","Brejo Alegre"
"95.83","Lidianópolis"
"80.85","São Francisco do Glória"
"94.73","Dois Irmãos das Missões"
"72.15","Iacri"
"93.02","Ariranha do Ivaí"
"37.72","Nossa Senhora da Glória"
"68.54","Paraíba do Sul"
"26.02","Mata Grande"
"41.21","Pastos Bons"
"80.76","Ubiretama"
"87.64","São Pedro do Turvo"
"22.00","Pão de Açúcar"
"67.80","Caratinga"
"56.00","Lagoa Grande"
"76.10","Vera Cruz"
"64.72","Cuité"
"74.62","Salto do Itararé"
"71.05","Esmeralda"
"40.09","Guaçuí"
"55.90","Governador Eugênio Barros"
"94.32","Tapiratiba"
"83.33","Torixoréu"
"77.77","Parisi"
"55.22","São Gonçalo do Abaeté"
"27.02","Canhoba"
"27.96","Cândido Sales"
"70.73","Dores do Turvo"
"60.86","Silveirânia"
"47.82","Anguera"
"93.86","Brusque"
"68.88","Várzea da Palma"
"55.88","São João da Serra"
"55.29","São João do Oriente"
"74.24","Campos Altos"
"21.80","Casa Nova"
"57.03","São Félix do Araguaia"
"38.54","Jitaúna"
"0","Balneário Rincão"
"55.89","Lagoa do Carro"
"34.78","Presidente Jânio Quadros"
"76.54","Belém"
"77.31","Pardinho"
"87.81","Bariri"
"85.28","Cotriguaçu"
"34.38","Carinhanha"
"25.25","Central"
"47.72","Goiabeira"
"50.45","Mambaí"
"61.69","Conceição de Macabu"
"9.14","São Pedro da Água Branca"
"69.13","Doverlândia"
"96.87","Nova Araçá"
"10.43","Piraí do Norte"
"69.73","Teodoro Sampaio"
"8.01","Poção de Pedras"
"46.13","Riacho de Santana"
"6.82","Formosa da Serra Negra"
"36.00","Palmeira"
"40.00","Tarumirim"
"12.33","Mocajuba"
"83.87","Arroio Trinta"
"59.00","Beberibe"
"66.07","Guajeru"
"70.17","Nova Santa Bárbara"
"50.74","Senhora de Oliveira"
"95.30","Campina Verde"
"15.38","Cachoeira Grande"
"55.88","Coronel Ezequiel"
"84.37","Inhacorá"
"53.22","Pontal"
"53.57","Vianópolis"
"39.13","Uruana de Minas"
"30.80","Porto da Folha"
"97.36","Pranchita"
"73.68","Itapuca"
"74.03","Itarana"
"44.52","Vila Nova dos Martírios"
"40.92","Saquarema"
"70.40","Cerro Azul"
"60.62","Sebastião Laranjeiras"
"17.20","Olho d'Água das Cunhãs"
"81.48","Tunas"
"79.34","São Bernardo do Campo"
"32.63","Conceição"
"18.28","Rurópolis"
"65.29","Lagoa do Ouro"
"48.05","Rio Grande do Piauí"
"80.87","Catalão"
"57.94","Ervália"
"70.58","Marema"
"51.96","Delta"
"20.97","Itaberaba"
"72.81","Alto Jequitibá"
"78.37","Ibiraci"
"90.22","Ibirubá"
"76.78","São João Batista do Glória"
"26.39","Alto Parnaíba"
"81.38","Turmalina"
"87.75","Alto Paraná"
"60.00","Igaporã"
"52.38","Cachoeira de Pajeú"
"86.60","São João da Ponte"
"88.00","Careaçu"
"51.07","Beneditinos"
"96.72","Virmond"
"69.46","Itapoá"
"78.61","Borborema"
"41.75","Firminópolis"
"59.66","Martinho Campos"
"37.50","Gilbués"
"58.07","Novo Cruzeiro"
"52.63","São Gonçalo do Piauí"
"75.00","Colombo"
"93.73","Prata"
"79.06","Rosário da Limeira"
"37.28","Japorã"
"93.54","São Martinho"
"17.18","Couto de Magalhães de Minas"
"72.00","Dom Viçoso"
"51.21","Ererê"
"35.64","Coração de Jesus"
"59.59","Brumado"
"64.42","Jóia"
"14.33","Ilhéus"
"76.40","Grandes Rios"
"77.53","Ubá"
"51.06","Correia Pinto"
"56.84","Limoeiro"
"58.19","Recife"
"84.23","Castelo"
"87.22","Holambra"
"84.02","Piratininga"
"63.63","Galvão"
"40.18","Palmeirópolis"
"39.13","Candeal"
"61.92","Campo Belo"
"69.39","Tauá"
"56.59","Ribeirão do Pinhal"
"38.90","Itacoatiara"
"92.55","Pomerode"
"65.96","São Joaquim"
"93.51","Flores da Cunha"
"20.42","Cristinápolis"
"35.29","Santo Antônio dos Milagres"
"58.07","Coronel Fabriciano"
"42.30","Monte Santo do Tocantins"
"18.42","Mateiros"
"31.27","São Miguel dos Campos"
"75.00","Coronel Pilar"
"66.45","Campanha"
"58.11","Lagoa de Dentro"
"49.03","Camocim"
"78.35","Rincão"
"86.66","Gentil"
"64.81","Lajes"
"65.24","Maricá"
"59.77","Formosa"
"92.85","São Miguel da Boa Vista"
"15.72","Dom Eliseu"
"58.33","Nova Luzitânia"
"57.14","Olho d'Água Grande"
"44.11","Ipiaú"
"73.52","Caçapava do Sul"
"85.41","Águas de Chapecó"
"74.00","Romelândia"
"88.15","Santa Bárbara de Goiás"
"53.55","Palhoça"
"45.65","Fernando Pedroza"
"86.06","Dracena"
"26.61","Redenção"
"65.45","Feira Nova do Maranhão"
"92.59","Osvaldo Cruz"
"81.37","Canguçu"
"45.45","Nova Itarana"
"16.90","Porto do Mangue"
"73.93","Arujá"
"52.38","Zortéa"
"12.50","Maurilândia do Tocantins"
"68.91","Laurentino"
"57.69","Santo Afonso"
"57.37","Ramilândia"
"45.88","Morro do Chapéu do Piauí"
"83.88","Bela Vista do Paraíso"
"87.27","Boituva"
"35.48","Milagres"
"83.33","Nova Canaã Paulista"
"30.76","Lagoa d'Anta"
"41.15","São José de Piranhas"
"89.45","Pompéia"
"56.75","Gameleira de Goiás"
"42.71","Coribe"
"47.75","Jardim de Piranhas"
"43.66","Pimenteiras"
"81.95","Apiacás"
"46.48","Marcelândia"
"78.37","Alto Alegre"
"91.91","Santa Isabel do Ivaí"
"86.48","Arabutã"
"82.45","Mairiporã"
"68.59","Mar de Espanha"
"46.91","Leopoldo de Bulhões"
"64.58","Santa Quitéria"
"34.64","Craíbas"
"83.17","Amaporã"
"39.70","Ipuaçu"
"93.18","Quinze de Novembro"
"76.26","Caraguatatuba"
"42.80","Boquira"
"91.37","Rebouças"
"60.00","Pedro Avelino"
"53.07","Angical"
"47.51","Sobradinho"
"77.77","Olaria"
"79.14","Ouro Branco"
"20.14","Bacuri"
"85.98","Alto Piquiri"
"35.13","Dois Irmãos do Tocantins"
"62.43","Mário Campos"
"77.77","Cordilheira Alta"
"85.00","Lacerdópolis"
"25.00","Caetanos"
"59.18","Volta Grande"
"84.78","Inácio Martins"
"74.48","Laranja da Terra"
"47.05","Jangada"
"51.96","Ibirajuba"
"61.81","São Francisco de Sales"
"41.46","Lafaiete Coutinho"
"18.55","Lajeado Novo"
"65.38","Venha-Ver"
"82.60","Itacambira"
"46.75","Parazinho"
"84.00","Pouso Alto"
"73.56","Turvo"
"50.29","Plácido de Castro"
"78.57","Amaral Ferrador"
"42.85","Divisópolis"
"68.65","Brasília"
"75.80","Sertaneja"
"59.63","Satuba"
"48.12","Umarizal"
"87.65","Jacuí"
"76.92","Sério"
"5.34","Presidente Sarney"
"66.03","Itabirito"
"18.27","Itapebi"
"79.10","Severínia"
"86.16","Imbituva"
"92.30","Botuverá"
"85.09","Ipuã"
"73.46","Nonoai"
"65.95","Faina"
"79.08","Campo Largo"
"69.56","Irapuru"
"70.87","Pouso Redondo"
"39.24","Serra de São Bento"
"87.86","Sidrolândia"
"99.25","Porto Xavier"
"79.63","Arcos"
"36.05","Macaparana"
"82.78","Campinas"
"55.55","Campinaçu"
"85.08","Grão Mogol"
"43.23","Iranduba"
"62.02","Guarda-Mor"
"73.68","Passos Maia"
"31.44","Maracás"
"62.22","Olho D'Água do Piauí"
"47.70","Dianópolis"
"4.69","Passagem Franca"
"47.41","Pirambu"
"64.97","São Lourenço da Serra"
"44.27","Teófilo Otoni"
"66.97","Milagres"
"79.87","Mauá da Serra"
"80.76","Iguatama"
"41.57","São Brás"
"10.20","São Félix de Balsas"
"75.86","São Pedro de Alcântara"
"90.00","Nova Tebas"
"55.81","Pedro Régis"
"14.94","Olinda Nova do Maranhão"
"72.63","São Lourenço do Sul"
"70.39","Alfenas"
"33.83","Caputira"
"67.85","Santo Antônio do Pinhal"
"81.63","Fortaleza de Minas"
"26.66","Santarém Novo"
"69.60","Nova Era"
"61.38","Fruta de Leite"
"77.65","Cristais Paulista"
"41.17","Malhada dos Bois"
"52.73","Tavares"
"44.88","Lagoa da Confusão"
"81.94","Campo Mourão"
"51.27","Governador Valadares"
"20.73","Medicilândia"
"43.36","Lapão"
"64.00","São Bento do Trairí"
"69.33","Itauçu"
"84.72","Tiradentes do Sul"
"51.61","Alto Rio Doce"
"70.58","Lavandeira"
"31.63","Riacho Frio"
"71.83","Adrianópolis"
"67.70","Sapiranga"
"24.19","Itajá"
"29.62","Itabuna"
"37.87","Mairi"
"5.92","Bom Lugar"
"51.76","Itaperuçu"
"88.54","Nova Aurora"
"26.90","Taipu"
"61.36","Mato Rico"
"78.49","Itu"
"84.31","Vargeão"
"78.78","Adolfo"
"41.70","Ulianópolis"
"93.75","Porto Vera Cruz"
"74.73","Taguaí"
"63.17","Vila Velha"
"85.26","Valinhos"
"59.74","Pirpirituba"
"70.60","Alegre"
"57.67","Custódia"
"88.10","Sarandi"
"65.26","Terra de Areia"
"76.74","São Pedro da União"
"90.90","Barra do Rio Azul"
"83.11","Itobi"
"87.64","Morungaba"
"91.66","Saldanha Marinho"
"63.19","Campina Grande"
"80.72","Sapucaí-Mirim"
"77.35","Rio Branco do Ivaí"
"65.79","Pontal do Paraná"
"86.75","Assis"
"56.98","Marizópolis"
"60.05","Parauapebas"
"43.13","Belém do Piauí"
"87.44","São Roque"
"12.28","Grossos"
"38.30","Altos"
"70.96","Vermelho Novo"
"74.48","Jardinópolis"
"79.48","Ipiaçu"
"93.05","Salvador do Sul"
"90.24","Aramina"
"66.37","Serra"
"25.00","São Francisco de Assis do Piauí"
"45.96","Cacequi"
"23.04","Nina Rodrigues"
"54.04","Bom Jesus do Itabapoana"
"80.35","Bom Sucesso de Itararé"
"23.12","Serra Caiada"
"44.91","Ouriçangas"
"22.76","Parnaíba"
"38.77","Pureza"
"31.03","Upanema"
"29.82","Afonso Cunha"
"82.59","Jundiaí"
"79.03","Pontalinda"
"34.78","Itabi"
"50.00","Conceição do Pará"
"93.18","Itapagipe"
"67.91","Foz do Iguaçu"
"63.00","Ibipitanga"
"94.77","Guaxupé"
"77.19","Lins"
"77.86","Olímpia"
"80.39","Platina"
"56.41","Santana do Riacho"
"20.96","Bacurituba"
"41.66","São Luiz"
"33.20","Pacaraima"
"51.16","Cocal de Telha"
"45.85","Tocantinópolis"
"63.15","Cachoeira da Prata"
"70.00","Tocos do Moji"
"27.60","Mucugê"
"49.73","Cantagalo"
"50.52","Natividade"
"46.70","Frei Miguelinho"
"29.62","Theobroma"
"46.15","Aparecida do Rio Negro"
"85.00","São João do Polêsine"
"83.11","Ipeúna"
"5.97","Humberto de Campos"
"68.75","Jundiá"
"71.11","Areal"
"33.58","Aquidabã"
"82.81","Gavião Peixoto"
"68.19","Caxambu"
"70.58","Chapadão do Lageado"
"42.25","São José do Cerrito"
"45.83","Saúde"
"32.00","Santo Antônio de Lisboa"
"89.48","Vargem Grande do Sul"
"46.87","Quijingue"
"84.96","Piraúba"
"64.28","Ministro Andreazza"
"79.62","Missal"
"60.71","Desterro do Melo"
"26.89","Varzedo"
"43.41","Ipiranga do Piauí"
"73.33","Lagoa Real"
"43.57","Brejo da Madre de Deus"
"23.77","Altamira"
"56.25","Águia Branca"
"31.11","Pedra Preta"
"35.51","Girau do Ponciano"
"48.64","Fernandes Tourinho"
"51.66","Caetité"
"83.06","Guapó"
"43.42","Rio Vermelho"
"82.14","Santa Terezinha do Progresso"
"13.58","Esperantina"
"64.26","Socorro"
"23.24","Sátiro Dias"
"87.09","Estrela d'Oeste"
"81.25","Santo Antônio de Posse"
"60.71","Duas Estradas"
"28.57","Gracho Cardoso"
"69.23","Fernão"
"42.82","Bayeux"
"68.75","Piranguçu"
"71.25","Cerejeiras"
"17.42","Central do Maranhão"
"88.02","Palmares Paulista"
"75.00","Conceição das Pedras"
"83.16","Nova Fátima"
"27.11","São Sebastião"
"76.00","Lima Duarte"
"80.00","Nova Belém"
"65.00","Nipoã"
"72.63","Teixeiras"
"76.92","Macieira"
"86.06","Nova Europa"
"88.23","Rio do Oeste"
"60.00","Rio Preto"
"37.50","Aguanil"
"58.82","Ibirapuã"
"83.58","São Sebastião da Bela Vista"
"56.92","Porciúncula"
"81.09","Paraty"
"48.54","Senhora dos Remédios"
"81.01","Pereiras"
"88.65","Saudades"
"74.62","Rianápolis"
"83.33","Santa Cecília do Sul"
"69.23","Jateí"
"93.71","Sorocaba"
"19.83","Itaituba"
"90.47","Populina"
"54.41","Angelina"
"75.70","Manduri"
"96.15","São Jorge d'Oeste"
"50.00","Pilões"
"85.93","Cesário Lange"
"65.59","Jequitaí"
"64.93","Imbé de Minas"
"66.66","Arapeí"
"44.15","Ourolândia"
"70.64","Maracaju"
"29.10","Novo Horizonte"
"48.85","Tapiramutá"
"23.60","São Félix do Xingu"
"68.29","Recreio"
"67.53","Sabinópolis"
"11.39","Novo Aripuanã"
"46.20","Caraí"
"63.34","Montes Claros"
"80.88","Croatá"
"76.00","Piedade do Rio Grande"
"60.11","São João do Rio do Peixe"
"66.66","Bozano"
"5.60","Brejo"
"52.77","Santa Terezinha de Goiás"
"46.98","São Luís do Curu"
"75.53","Ibiá"
"82.62","Congonhas"
"28.16","Franciscópolis"
"75.00","Ângulo"
"78.57","Boa Esperança do Iguaçu"
"38.29","Serrinha"
"47.23","Chapada dos Guimarães"
"21.89","Pedra Branca do Amapari"
"88.92","Nova Prata"
"84.88","Viradouro"
"43.29","Ribeirão"
"82.89","Vista Alegre do Alto"
"43.75","Palmácia"
"34.81","Pinheiros"
"47.50","Landri Sales"
